anomaly_id,anomaly_category,anomaly_type,station_names,affected_feature,severity,affected_rows,event_start,event_end
EVT_A0C45465,SENSOR_FAULT,SUDDEN_SPIKE,Ludhiana,avg_temp,HIGH,1,,
EVT_3188989A,SENSOR_FAULT,SUDDEN_SPIKE,Mandi,avg_temp,HIGH,1,,
EVT_08C1E57F,SENSOR_FAULT,SUDDEN_SPIKE,Ludhiana,avg_temp,HIGH,1,,
EVT_BB976B75,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,avg_temp,HIGH,1,,
EVT_815353DE,SENSOR_FAULT,SUDDEN_SPIKE,Cochin Int. Airport / Kaladi,avg_temp,HIGH,1,,
EVT_563A60C9,SENSOR_FAULT,SUDDEN_SPIKE,Coimbatore / Peelamedu,avg_temp,HIGH,1,,
EVT_58CD89DA,SENSOR_FAULT,SUDDEN_SPIKE,Ambala,avg_temp,HIGH,1,,
EVT_F2D7C4D1,SENSOR_FAULT,SUDDEN_SPIKE,Sundernagar / Sundarnagar,avg_temp,HIGH,1,,
EVT_95CD2AB5,SENSOR_FAULT,SUDDEN_SPIKE,Patiala,avg_temp,HIGH,1,,
EVT_47BE9C6D,SENSOR_FAULT,SUDDEN_SPIKE,Una,avg_temp,HIGH,1,,
EVT_D6347184,SENSOR_FAULT,SUDDEN_SPIKE,Sundernagar / Sundarnagar,avg_temp,HIGH,1,,
EVT_953AC6D1,SENSOR_FAULT,SUDDEN_SPIKE,Cochin Int. Airport / Kaladi,avg_temp,HIGH,1,,
EVT_243C12F9,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,avg_temp,HIGH,1,,
EVT_68B6B6EB,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,avg_temp,HIGH,1,,
EVT_2CDB6446,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,avg_temp,HIGH,1,,
EVT_02A69878,SENSOR_FAULT,SUDDEN_SPIKE,Sundernagar / Sundarnagar,avg_temp,HIGH,1,,
EVT_78250D1D,SENSOR_FAULT,SUDDEN_SPIKE,Una,avg_temp,HIGH,1,,
EVT_8F297D0C,SENSOR_FAULT,SUDDEN_SPIKE,Chandigarh / Surajpur,avg_temp,HIGH,1,,
EVT_4D243D36,SENSOR_FAULT,SUDDEN_SPIKE,Patiala,avg_temp,HIGH,1,,
EVT_D30A1EBE,SENSOR_FAULT,SUDDEN_SPIKE,Bikaner,avg_temp,HIGH,1,,
EVT_6E2F3F33,SENSOR_FAULT,SUDDEN_SPIKE,Mandi,avg_temp,HIGH,1,,
